# Per-type review of api.v1 types excluded from the stable binary baseline.
# Evidence columns record direct symbol references, not inferred coverage.
# A type remains non-stable until every release-grade runtime gate is proven.
type	disposition	core_ref	sample_ref	test_ref	doc_ref	rationale
com.stardew.craft.api.v1.agriculture.StardewAnimalDailyContext	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalDailyHandlers	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalIncubation	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalPersistentData	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalPurchaseDisplay	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalPurchaseDisplays	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalQueryDefinition	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalQueryDefinitions	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalReproductionContext	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalReproductionRules	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalShopEntries	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalShopEntry	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalTypeDefinition	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.agriculture.StardewAnimalTypes	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.agriculture.StardewCropDailyContext	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewCropHarvestContext	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewCropHarvestResult	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewCropRemovalCause	keep_experimental	yes	yes	no	no	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewCropRuntime	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.agriculture.StardewCropRuntimeAdapter	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewCropState	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewCropType	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewCropTypes	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.agriculture.StardewTruffleFoundContext	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.agriculture.StardewTruffleFoundHandlers	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.building.StardewBuildingBlueprint	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.building.StardewBuildingBlueprintDefinition	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.building.StardewBuildingBlueprints	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.building.StardewBuildingBuilders	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.building.StardewBuildingMaterial	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.combat.StardewCombatDamageContext	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.combat.StardewCombatDamageDecision	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.combat.StardewCombatDamageModifier	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.combat.StardewCombatEvents	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.combat.StardewCombatKillContext	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.combat.StardewCombatKillListener	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.communitycenter.StardewBundleDefinition	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.communitycenter.StardewBundleIngredient	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.communitycenter.StardewCommunityCenterActions	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
